  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 08:42:20	  11.996	   0.000	    0.00	    0.00	    0.00	  3234.8	   125.8	  1422.6	  1343.1	  2628.2	   -80.4	   0.000	   0.000	     0.0	     0.0	       0	    0.00	    0.00	    0.00	    0.00	    0.00	  12.165	  11.859	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 08:43:26	   4.004	   0.000	    0.00	    0.00	    0.00	  1654.8	   138.9	   478.7	   404.0	  2299.0	  -100.8	   0.000	   0.000	     0.0	     0.0	       0	    0.00	    0.00	    0.00	    0.00	    0.00	  11.536	  11.316	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 08:44:13	   7.996	   0.000	    0.00	    0.00	    0.00	  2078.4	   106.1	  1158.1	  1089.5	  2196.9	   -66.6	   0.000	   0.000	     0.0	     0.0	       0	    0.00	    0.00	    0.00	    0.00	    0.00	  11.268	  11.073	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 08:45:09	   0.004	   0.000	    0.00	    0.00	    0.00	  1607.5	    79.8	  -398.3	  -412.6	  2676.4	  -117.8	   0.000	   0.000	     0.0	     0.0	       0	    0.00	    0.00	    0.00	    0.00	    0.00	  11.044	  10.882	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 08:46:33	   0.004	   0.000	    0.00	    0.00	    0.00	   432.2	    13.4	  -101.5	  -102.0	   679.3	   -25.5	   0.000	   0.000	     0.0	     0.0	       0	    0.00	    0.00	    0.00	    0.00	    0.00	  10.806	  10.671	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 08:47:25	   7.995	   0.000	    0.00	    0.00	    0.00	   530.5	    28.5	   291.5	   267.0	   587.2	    -9.7	   0.000	   0.000	     0.0	     0.0	       0	    0.00	    0.00	    0.00	    0.00	    0.00	  10.694	  10.553	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 08:48:08	  12.000	   0.000	    0.00	    0.00	    0.00	   801.8	    22.9	   357.1	   329.2	   723.7	    -1.7	   0.000	   0.000	     0.0	     0.0	       0	    0.00	    0.00	    0.00	    0.00	    0.00	  10.616	  10.475	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 08:49:18	   4.005	   0.000	    0.00	    0.00	    0.00	   442.3	    17.8	   116.0	   103.0	   590.5	   -15.5	   0.000	   0.000	     0.0	     0.0	       0	    0.00	    0.00	    0.00	    0.00	    0.00	  10.478	  10.347	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 08:50:50	   4.005	   0.000	    0.00	    0.00	    0.00	   966.4	    81.5	   270.6	   217.5	  1311.2	   -51.6	   0.000	   0.000	     0.0	     0.0	       0	    0.00	    0.00	    0.00	    0.00	    0.00	  10.361	  10.239	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      10	 08:52:11	  11.996	   0.000	    0.00	    0.00	    0.00	  1816.9	    68.5	   797.9	   747.1	  1531.5	   -35.9	   0.000	   0.000	     0.0	     0.0	       0	    0.00	    0.00	    0.00	    0.00	    0.00	  10.321	  10.203	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      11	 08:53:07	   8.004	   0.000	    0.00	    0.00	    0.00	  1191.5	    78.8	   665.2	   608.6	  1266.0	   -37.8	   0.000	   0.000	     0.0	     0.0	       0	    0.00	    0.00	    0.00	    0.00	    0.00	  10.302	  10.181	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      12	 08:54:18	   0.000	   0.000	    0.00	    0.00	    0.00	   948.7	    34.6	  -235.7	  -239.2	  1532.5	   -62.4	   0.000	   0.000	     0.0	     0.0	       0	    0.00	    0.00	    0.00	    0.00	    0.00	  10.292	  10.176	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
