  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 09:11:11	   8.004	   0.000	    0.00	    0.00	    0.00	   951.0	    80.1	  1257.4	  1224.9	  1522.9	   -84.1	   0.000	   0.000	     0.0	     0.0	       0	  105.01	  105.05	    7.16	    7.67	    0.00	  12.482	  12.583	  41.366	  41.211	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 09:12:17	   0.000	   0.000	    0.00	    0.00	    0.00	   512.4	   131.4	  -306.7	  -361.2	  2046.2	  -127.1	   0.000	   0.000	     0.0	     0.0	       0	  105.00	  105.01	    7.10	    7.61	    0.00	  13.630	  13.885	  41.254	  41.154	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 09:13:17	   0.000	   0.000	    0.00	    0.00	    0.00	  1302.0	   108.9	  -378.6	  -415.2	  2509.6	  -124.0	   0.000	   0.000	     0.0	     0.0	       0	   90.00	   90.01	    2.51	    2.77	    0.00	  14.331	  14.537	  39.180	  38.794	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 09:14:31	  11.995	   0.000	    0.00	    0.00	    0.00	  2760.8	   138.8	  1520.5	  1433.0	  2284.1	   -83.0	   0.000	   0.000	     0.0	     0.0	       0	   90.02	   90.01	    3.43	    3.80	    0.00	  14.378	  14.438	  40.761	  40.118	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 09:15:36	  11.995	   0.000	    0.00	    0.00	    0.00	  1171.7	   144.0	  1761.0	  1667.7	  1156.5	   -80.7	   0.000	   0.000	     0.0	     0.0	       0	  119.99	  119.99	   14.18	   15.41	    0.00	  15.071	  15.463	  42.114	  41.532	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 09:16:38	   4.005	   0.000	    0.00	    0.00	    0.00	  -385.3	   117.0	   654.4	   597.2	  1058.9	  -101.9	   0.000	   0.000	     0.0	     0.0	       0	  120.01	  120.01	   13.75	   14.92	    0.00	  17.272	  18.061	  41.872	  41.228	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 09:17:46	   4.005	   0.000	    0.00	    0.00	    0.00	  1343.1	    74.1	   469.0	   448.4	  2123.8	   -99.0	   0.000	   0.000	     0.0	     0.0	       0	   90.00	   90.01	    2.56	    2.76	    0.00	  18.395	  18.710	  38.099	  39.007	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 09:18:38	   7.995	   0.000	    0.00	    0.00	    0.00	  1751.7	   104.9	  1179.1	  1120.1	  2024.5	   -81.4	   0.000	   0.000	     0.0	     0.0	       0	   90.00	   90.00	    2.65	    2.86	    0.00	  17.789	  17.773	  38.201	  39.057	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 09:19:33	   7.995	   0.000	    0.00	    0.00	    0.00	    47.3	   146.9	  1386.9	  1291.8	   939.4	   -85.5	   0.000	   0.000	     0.0	     0.0	       0	  120.00	  120.00	   14.34	   15.01	    0.00	  17.542	  17.642	  39.498	  40.621	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      10	 09:20:27	   0.005	   0.000	    0.00	    0.00	    0.00	  -414.3	   110.2	  -225.4	  -269.8	  1464.4	  -119.2	   0.000	   0.000	     0.0	     0.0	       0	  119.99	  119.99	   14.36	   15.12	    0.00	  18.751	  19.035	  39.553	  40.759	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      11	 09:21:22	   3.995	   0.000	    0.00	    0.00	    0.00	   540.1	    79.0	   538.4	   508.9	  1642.2	   -95.8	   0.000	   0.000	     0.0	     0.0	       0	  105.00	  104.99	    8.00	    8.03	    0.00	  19.827	  19.806	  36.700	  39.245	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      12	 09:22:37	  12.000	   0.000	    0.00	    0.00	    0.00	  2024.0	   143.1	  1628.5	  1535.9	  1769.8	   -80.3	   0.000	   0.000	     0.0	     0.0	       0	  105.00	  105.00	    8.88	    8.94	    0.00	  19.801	  19.529	  37.151	  39.645	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
