Cn,Cp,J,a,b,V,dr,CT
-0.0303233239869844,-0.0439436200403779,1.5988273527311,2,5,20,0,0.227000522915561
-0.00794956918670606,-0.0160923504897658,1.68565171115041,-1,2,20,0,0.182497663008236
-0.00704445943553123,-0.0145080307327155,1.67658284445742,5,2,20,0,0.195611632011092
-0.0243132677990873,-0.0281780723280303,1.6730774885707,-1,8,20,0,0.179047612814102
-0.0201304150493756,-0.0225530881290331,1.66648677403258,5,8,20,0,0.185161659682565
0.00705388096983346,-0.00113194695194988,1.80039861155119,2,0,20,0,0.135169963632455
-0.033205038568247,-0.049755080670159,1.7986133562562,-3,5,20,0,0.123759325484749
-0.0327733114802264,-0.0433538219164261,1.79414394540686,2,5,20,0,0.13984577129412
-0.0335751117161929,-0.0399763867237232,1.79094996326889,7,5,20,0,0.139685849910984
-0.0366073929447561,-0.040876238978646,1.79787692211537,2,10,20,0,0.124179202056742
-0.0100705703471709,-0.0154269073999974,1.92110109358101,-1,2,20,0,0.0810256045575416
-0.0101153717575113,-0.0141707730091997,1.91179888115504,5,2,20,0,0.0950807740430418
-0.026452888840464,-0.0275507072726053,1.92055498856032,-1,8,20,0,0.0705842241693027
-0.0222723416309481,-0.0225128471186749,1.91293247491804,5,8,20,0,0.081689173542051
-0.0235953950463576,-0.0288877590367657,2.00103746540686,2,5,20,0,0.00468817059174013
-0.028895352686488,-0.0420188304991787,1.60122386256755,2,5,40,0,0.280111949878897
-0.00665123995225684,-0.0151426915469102,1.68083792920296,-1,2,40,0,0.257141840822824
-0.00482532133687867,-0.0131261215372279,1.67991488739265,5,2,40,0,0.255761003108874
-0.0533469032429794,-0.0786409884257807,1.67838251118372,-1,8,40,0,0.238375965057531
-0.0504964318167731,-0.0674010396227452,1.67866586160139,5,8,40,0,0.23777487403455
0.00805460230655098,-0.000566205905798149,1.7997996112746,2,0,40,0,0.203595544674567
-0.0318473026302168,-0.0472670301105131,1.79984779232004,-3,5,40,0,0.191964941936014
-0.0320708969244484,-0.0428408129642135,1.79500110429302,2,5,40,0,0.203683103276678
-0.0330112739276519,-0.0395223964657005,1.79631989666716,7,5,40,0,0.197765965045995
-0.0647934704413646,-0.0853349361385499,1.80098282737907,2,10,40,0,0.183918828958585
-0.00953267615985441,-0.015605519898056,1.92074528039106,-1,2,40,0,0.151955670370517
-0.00857813123185669,-0.0138414692571371,1.91987531587472,5,2,40,0,0.150212874041108
-0.0560210859503167,-0.0785683493973288,1.92243372710011,-1,8,40,0,0.134689907156166
-0.0532867624450899,-0.0677411675381757,1.91955425018051,5,8,40,0,0.139552169986132
-0.0338602705516859,-0.0425897630757138,2.00191117108049,2,5,40,0,0.106502319605803
-0.0384199259939078,-0.0474220012143628,1.59975044346446,2,5,20,5,0.227604676791214
-0.0163072286976185,-0.0199083704230368,1.67966918400282,-1,2,20,5,0.186996827630305
-0.0144099919402846,-0.0176589023027022,1.67648052151826,5,2,20,5,0.194802595174554
-0.0316557824312703,-0.0314036882633187,1.67770935740615,-1,8,20,5,0.179374612436038
-0.0274738796929281,-0.0257317261407074,1.67914758982535,5,8,20,5,0.1806707185125
-0.000589307955322257,-0.00430256605365519,1.80107142020067,2,0,20,5,0.133436732669771
-0.0417697447818343,-0.0533760665998406,1.80112451616129,-3,5,20,5,0.126316368146997
-0.0409902415695666,-0.0473639741297694,1.79682518416171,2,5,20,5,0.137643042930477
-0.0407775140758815,-0.0433065851147163,1.79697656657144,7,5,20,5,0.135819308438732
-0.0441415136668829,-0.0440533717517836,1.80027751084089,2,10,20,5,0.123767574132506
-0.0185126257589409,-0.019226302251185,1.92187036103256,-1,2,20,5,0.0830970540989879
-0.0169129811211869,-0.017007088397108,1.91314186870903,5,2,20,5,0.0948867102860298
-0.0339127228270904,-0.0311095448950092,1.91873375164017,-1,8,20,5,0.0788242415620167
-0.0295958556700382,-0.0253944501737106,1.91766482448039,5,8,20,5,0.0829822657591435
-0.0317601980928295,-0.0324061677875019,2.00290180738484,2,5,20,5,0.00442813912996061
-0.0369760687020089,-0.0456059442053798,1.60034615431997,2,5,40,5,0.283410152149535
-0.0148208829597787,-0.0190017743322866,1.67932894561607,-1,2,40,5,0.262686460932415
-0.0120104762380987,-0.016230666282601,1.67984362692174,5,2,40,5,0.258627693603793
-0.0616292088650622,-0.0824097372150595,1.68031848291834,-1,8,40,5,0.241026500123223
-0.0584386775021786,-0.0709851106425657,1.67934504554486,5,8,40,5,0.240265562634256
0.00040648906365197,-0.00395322444330245,1.79941682419856,2,0,40,5,0.207785415372331
-0.0403251725085346,-0.0512623111435325,1.79898052332246,-3,5,40,5,0.198023811409114
-0.0402591395123381,-0.0465208091193493,1.79854598761387,2,5,40,5,0.206156041184825
-0.0398287307571097,-0.0422967117889824,1.79940958520453,7,5,40,5,0.199561978657333
-0.0727521594377751,-0.088825479367487,1.79981994368309,2,10,40,5,0.189657263786914
-0.0177754393362615,-0.0193483642756773,1.92043417804586,-1,2,40,5,0.157882042061747
-0.015354077510479,-0.0166958500886337,1.9203506512302,5,2,40,5,0.153368409382589
-0.0643061803006552,-0.0824080730868256,1.92188610943176,-1,8,40,5,0.138540598654653
-0.0612689726238311,-0.0712488513447338,1.92106750421943,5,8,40,5,0.141930381794149
-0.0419997501249925,-0.0462380751109161,2.00217133905038,2,5,40,5,0.110196765136375
-0.0464828662100835,-0.0517802166591977,1.5999679587453,2,5,20,10,0.225585683390867
-0.0252536177378035,-0.0250458580663555,1.67969851722326,-1,2,20,10,0.185105041324043
-0.0229063110066181,-0.0220925883857443,1.67720590526613,5,2,20,10,0.193409763209993
-0.0396303057386212,-0.0360320145136095,1.68211242402378,-1,8,20,10,0.175169257258065
-0.0353088881350018,-0.0300789581939733,1.67681665409832,5,8,20,10,0.180450370347556
-0.00948110607947906,-0.00944288921233095,1.79938240630262,2,0,20,10,0.131817774520678
-0.0499817349436344,-0.0585113893780984,1.80027855992286,-3,5,20,10,0.131382570449975
-0.0490399441492339,-0.0518503694886091,1.79764192106409,2,5,20,10,0.137021541241925
-0.0481070008306473,-0.0472429710242803,1.79969703268438,7,5,20,10,0.133547053828241
-0.0517915010128842,-0.0484686325416595,1.80197552852392,2,10,20,10,0.123066164899371
-0.0275343945450575,-0.0242906533211756,1.91836519989552,-1,2,20,10,0.0845060985799811
-0.0253961954919759,-0.0218321944738595,1.91656139392071,5,2,20,10,0.0921472783480691
-0.0417468829851416,-0.0355409675310088,1.91913516487016,-1,8,20,10,0.0717276400362483
-0.0374494917192283,-0.0296156843390999,1.91728065636679,5,8,20,10,0.0794529196054545
-0.0398131450798631,-0.0367650073991121,2.00201549221769,2,5,20,10,0.00387547499911971
-0.0451168628910281,-0.049505808289449,1.60008506501594,2,5,40,10,0.281588873746289
-0.0240762975394128,-0.0258221356546843,1.67845759585707,-1,2,40,10,0.270687171055165
-0.0201461968254373,-0.0199638018421155,1.67990296178894,5,2,40,10,0.256236735638218
-0.0693280803738979,-0.0862012093308928,1.68013433720332,-1,8,40,10,0.239039830841068
-0.0661933352666358,-0.0748021043261741,1.67944233710685,5,8,40,10,0.238741626432437
-0.00843730546503709,-0.00804999994130263,1.8000024904976,2,0,40,10,0.206623728558291
-0.0487695352809819,-0.0554883833068193,1.7999715503258,-3,5,40,10,0.19529639417409
-0.0484010567580073,-0.0504639362030475,1.79946013662024,2,5,40,10,0.203007332061253
-0.0471221269737624,-0.0456305555646271,1.80043286997364,7,5,40,10,0.197135464469918
-0.0804340331462362,-0.0924815281338482,1.79795978089769,2,10,40,10,0.187960163801209
-0.0268417168754634,-0.0257786163646733,1.92046207974724,-1,2,40,10,0.165303833090998
-0.0233889667941115,-0.0203485459474375,1.92092183094025,5,2,40,10,0.149966456902983
-0.0720471962455325,-0.0861546182009327,1.92101950887012,-1,8,40,10,0.136885970418
-0.0690917151850527,-0.0750221030497436,1.92058102548843,5,8,40,10,0.14030913832364
-0.0501408240040482,-0.0501063522073642,2.00167433132879,2,5,40,10,0.107906093238112
