AoA,AoS,Vinf,CL,CD,CM25c
0,-10,40.00,0.3230,0.0685,-0.1576
0,-9,40.01,0.3189,0.0580,-0.1212
0,-8,40.01,0.3165,0.0559,-0.1234
0,-7,40.01,0.3130,0.0541,-0.1263
0,-6,40.00,0.3057,0.0529,-0.1311
0,-5,40.01,0.3008,0.0518,-0.1345
0,-4,40.00,0.3015,0.0506,-0.1357
0,-3,40.00,0.3008,0.0496,-0.1358
0,-2,40.00,0.2991,0.0489,-0.1360
0,-1,40.00,0.2983,0.0484,-0.1359
0,0,40.00,0.2982,0.0481,-0.1348
0,1,40.00,0.2984,0.0485,-0.1344
0,2,40.00,0.2988,0.0487,-0.1335
0,2.995,40.00,0.2996,0.0494,-0.1323
0,4.005,40.00,0.2978,0.0503,-0.1311
0,5.005,40.00,0.2963,0.0510,-0.1279
0,5.995,39.99,0.3069,0.0515,-0.1220
0,7,40.00,0.3113,0.0526,-0.1169
0,8,40.00,0.3145,0.0547,-0.1152
0,8.995,40.00,0.3168,0.0573,-0.1146
0,10,39.99,0.3192,0.0614,-0.1205
0,-9.995,20.00,0.3232,0.0738,-0.1923
0,-9,20.00,0.3206,0.0709,-0.1890
0,-8,20.00,0.3200,0.0684,-0.1830
0,-7,20.01,0.3194,0.0658,-0.1769
0,-6,19.99,0.3156,0.0634,-0.1710
0,-4.995,20.00,0.3054,0.0589,-0.1549
0,-4.005,20.00,0.3049,0.0553,-0.1459
0,-3,19.98,0.3064,0.0516,-0.1399
0,-2,20.02,0.3042,0.0512,-0.1426
0,-1,20.00,0.3031,0.0511,-0.1435
0,0,20.00,0.3039,0.0515,-0.1431
0,1,20.00,0.3047,0.0510,-0.1417
0,2,20.00,0.3049,0.0517,-0.1415
0,3,20.00,0.3051,0.0518,-0.1394
0,4,19.99,0.3031,0.0529,-0.1380
0,5.005,20.01,0.3060,0.0604,-0.1639
0,5.995,20.01,0.3158,0.0640,-0.1726
0,7,19.99,0.3187,0.0663,-0.1751
0,8.005,20.01,0.3201,0.0689,-0.1796
0,9,20.00,0.3218,0.0715,-0.1839
0,10.005,20.01,0.3257,0.0746,-0.1875
0,-9.995,30.00,0.3213,0.0736,-0.1824
0,-9,30.00,0.3190,0.0704,-0.1769
0,-8,30.00,0.3172,0.0674,-0.1719
0,-7,30.01,0.3142,0.0636,-0.1641
0,-6,30.01,0.3074,0.0592,-0.1540
0,-4.995,30.01,0.2974,0.0527,-0.1338
0,-4.005,30.02,0.2995,0.0516,-0.1350
0,-3,30.01,0.2995,0.0505,-0.1359
0,-2,29.99,0.2979,0.0502,-0.1375
0,-1,30.00,0.2971,0.0502,-0.1374
0,-0.005,30.00,0.2974,0.0504,-0.1370
0,1,30.00,0.2975,0.0493,-0.1346
0,1.995,30.00,0.2983,0.0501,-0.1342
0,3.005,30.00,0.2984,0.0505,-0.1334
0,4,29.99,0.2965,0.0514,-0.1315
0,5.005,29.99,0.2960,0.0523,-0.1288
0,5.995,29.98,0.3078,0.0528,-0.1220
0,7,30.01,0.3102,0.0537,-0.1162
0,8,29.98,0.3127,0.0554,-0.1123
0,9,29.98,0.3141,0.0578,-0.1084
0,10,30.00,0.3158,0.0605,-0.1065
0,-10,50.00,0.3258,0.0607,-0.1302
0,-9,50.03,0.3229,0.0580,-0.1279
0,-8,50.00,0.3198,0.0557,-0.1275
0,-7,50.02,0.3144,0.0538,-0.1292
0,-6,50.02,0.3090,0.0522,-0.1319
0,-5,50.01,0.3042,0.0509,-0.1345
0,-4,50.00,0.3048,0.0497,-0.1351
0,-3,50.02,0.3035,0.0486,-0.1349
0,-2,50.00,0.3032,0.0472,-0.1338
0,-0.995,50.00,0.3026,0.0469,-0.1340
0,-0.005,50.01,0.3015,0.0468,-0.1333
0,1,50.00,0.3007,0.0468,-0.1324
0,1.995,50.00,0.3015,0.0479,-0.1326
0,3.005,49.99,0.3027,0.0487,-0.1316
0,4,49.99,0.3016,0.0494,-0.1304
0,5.005,50.01,0.2995,0.0504,-0.1278
0,5.995,50.00,0.3089,0.0508,-0.1226
0,7,50.00,0.3153,0.0520,-0.1192
0,8,50.00,0.3187,0.0546,-0.1205
0,8.995,49.99,0.3222,0.0582,-0.1256
0,10,49.99,0.3242,0.0612,-0.1288
0,-10,30.00,0.3208,0.0741,-0.1816
0,-9,30.02,0.3188,0.0710,-0.1761
0,-8,29.99,0.3173,0.0682,-0.1715
0,-7,30.00,0.3145,0.0644,-0.1642
0,-6,30.01,0.3075,0.0601,-0.1555
0,-5,30.01,0.2972,0.0536,-0.1346
0,-4,30.03,0.2998,0.0524,-0.1362
0,-3,30.00,0.2999,0.0512,-0.1363
0,-2,30.01,0.2983,0.0507,-0.1365
0,-1,30.00,0.2976,0.0509,-0.1377
0,0,30.01,0.2980,0.0511,-0.1374
0,1,29.99,0.2978,0.0500,-0.1354
0,1.995,29.99,0.2992,0.0507,-0.1346
0,3.005,29.98,0.2994,0.0511,-0.1336
0,4,29.97,0.2962,0.0519,-0.1314
0,5.005,30.00,0.2974,0.0528,-0.1285
0,5.995,30.00,0.3073,0.0532,-0.1213
0,7,30.00,0.3111,0.0543,-0.1158
0,8,29.99,0.3122,0.0560,-0.1119
0,8.995,29.99,0.3151,0.0583,-0.1082
0,10,30.00,0.3165,0.0610,-0.1066
4.995,-10,40.01,0.7632,0.0803,-0.0915
4.995,-9,39.99,0.7588,0.0707,-0.0532
4.995,-8,40.01,0.7525,0.0684,-0.0509
4.995,-7,39.99,0.7511,0.0669,-0.0548
4.995,-6,40.00,0.7467,0.0660,-0.0596
4.995,-5,40.00,0.7448,0.0651,-0.0623
4.995,-4,40.01,0.7452,0.0640,-0.0625
4.995,-3,40.00,0.7447,0.0632,-0.0619
4.995,-2,40.00,0.7435,0.0628,-0.0613
